Codigo Convocatoria,Nombre del Oferente,Area del Conocimiento,Nombre del programa,Nombre del País,Fecha de Recepción -mm/dd/aaaa,Perfil del Aplicante,Objetivo del Programa
2127916.0,OEA - TOP - ARGENTINA,ADMINISTRACIÓN,POLÍTICAS DE GOBIERNO ABIERTO Y ACCESO A DATOS PÚBLICOS,PLATAFORMA DE EDUCACIÓN A DISTANCIA TOP - OEA,05/27/2016 12:00:00 AM,El programa está dirigido a profesionales universitarios en administración- economía- derecho- ciencias políticas o en áreas directamente relacionadas con el tema del curso que se desempeñen en entidades públicas o privadas- desarrollando actividades inherentes a las políticas de gobierno abierto y acceso a datos públicos. REQUISITOS: El candidato debe ser mayor de 23 años y menor de 65 años- tener un promedio mínimo de notas de pregrado de 3-7/5-0  contar con mínimo 2 años de experiencia profesional en el área del programa y gozar de buena salud física y mental.,a) Proporcionar a los participantes un panorama actualizado del concepto de Gobierno Abierto.b) Analizar las principales tendencias con un abordaje teórico y práctico.c) Desarrollar y compartir conocimientos y habilidades sobre el impacto que pueden tener la implementación de políticas de transparencia en nuestros países.
3101616.0,ALIANZA DEL PACÍFICO-CHILE-MÉXICO-PERÚ,DIFERENTES AREAS,PLATAFORMA DE MOVILIDAD ESTUDIANTIL Y ACADÉMICA DE LA ALIANZA DEL PACÍFICO - DOCTORADO INTERCAMBIO DE PROFESORES O INVESTIGADORES - CHILE,Chile (República de Chile),,El programa está dirigido a profesionales universitarios con maestría o a profesores o investigadores que cuenten con admisión definitiva al nivel de estudios que vayan a adelantar (doctorado- investigación o profesores invitados) en Chile- en las siguientes áreas:  1. NEGOCIOS. 2. FINANZAS. 3. COMERCIO INTERNACIONAL. 4. ADMINISTRACIÓN PÚBLICA. 5. CIENCIA POLÍTICA. 6. TURISMO. 7. ECONOMÍA. 8. RELACIONES INTERNACIONALES. 9. MEDIO AMBIENTE Y CAMBIO CLIMÁTICO. 10. INNOVACIÓN- CIENCIA Y TECNOLOGÍA. 11. INGENIERÍAS.   - Para obtener mayor información- visite: http://www.agci.cl/index.php/becas/becas-para-extranjeros/105-encuentra-tu-beca/1522-infobecaextr/?tipo=2&idNew=119   NOTA: SE EXCLUYEN ÁREAS DISTINTAS A LAS SEÑALADAS EN LA PRESENTE CONVOCATORIA.  REQUISITOS: El aspirante debe tener un promedio de notas de posgrado de 4-0/5-0 y deben gozar de excelente salud física y mental.  INFORMACIÓN IMPORTANTE:   1. La duración mínima será de tres semanas y máximo de un año académico (10 meses)- la movilidad en estudiantes de doctorado- investigadores y profesores invitados se deberá realizar con base en el calendario aprobado por la Universidad o Institución de Educación Superior receptora de cada país.  2. Los estudiantes de doctorado podrán realizar con esta beca: cursos- pasantías de co-tutela- estancias de investigación en el marco de su programa de postgrado en la universidad de origen.   3. Los docentes podrán ocupar esta beca para impartir clases como profesor invitado- para ello deberán presentar un programa de trabajo con las materias que dictarán- el nivel y deberán dar al menos cuatro (4) horas a la semana si son programas de pregrado y al menos tres (3) horas a la semana si son clases en programas de postgrado en general.   4. Los investigadores podrán integrarse a equipos de investigación en las instituciones académicas de destino y deberán presentar un Plan de Trabajo con los detalles de la investigación a realizar.  5. Los candidatos seleccionados por AGCID deberán: 1. Viajar a Chile- o encontrarse en él- con una anticipación suficiente a la fecha de inicio del respectivo programa de estudio. Se sugiere entre 3 y 5 días antes del inicio de las clases. 2. Obtener- con la debida anticipación- la Visa respectiva para estar en Chile en calidad de estudiante. 3. Obtener- con la debida anticipación- los permisos correspondientes en la universidad de origen. 4. Presentarse personalmente en las oficinas de AGCID para firmar el convenio que materializa la beca y entregar toda documentación original requerida que fuese solicitada. 5. Suscribir una Declaración Jurada que confirma haber leído el convenio que materializará la beca y entregar ese original.   6. TODA LA DOCUMENTACIÓN REQUERIDA EN ESTA CONVOCATORIA SE DEBE PRESENTAR EN FÍSICO Y EN UN (1) CD (ROTULADO CON EL NOMBRE DEL POSTULANTE Y AÑO DE REALIZACIÓN PARA LA CORRESPONDIENTE OFICIALIZACIÓN)- ÚNICAMENTE EN LOS PUNTOS DE ATENCIÓN DE ICETEX A NIVEL NACIONAL. EN EL CD- SE DEBEN INCLUIR TODOS LOS DOCUMENTOS REQUERIDOS EN ESTA CONVOCATORIA. LOS ARCHIVOS DEBEN ADJUNTARSE DE FORMA INDIVIDUAL EN FORMATO PDF- ES DECIR- POR CADA DOCUMENTO- UN (1) ARCHIVO QUE NO SUPERE 15 MEGAS. No presentar documentación en carpeta ni con separadores- ÚNICAMENTE legajados en el lado izquierdo.,El objetivo del Programa de Becas de Movilidad Estudiantil y Académica de la Alianza del Pacífico es contribuir a la formación de capital humano avanzado de los nacionales de los países miembros de la Alianza del Pacífico a través del intercambio académico de estudiantes de doctorado- profesores o investigadores en universidades chilenas.
2221414.0,GOBIERNO DE LA INDIA,INGENIERIA Y AFINES,DATA COMMUNICATION & IP TECHNOLOGIES,India (República de India),07/30/2014 12:00:00 AM,"El Programa ""Comunicación de información y tecnologías IP""- está dirigido a profesionales en Ingeniería de Sistemas- con experiencia laboral mínima de un año en el área del curso- y que se desempeñen en entidades públicas ó privadas. REQUISITOS: Los aspirantes deben ser menores de 45 años de edad- tener un promedio de notas universitarias de 3-7/5-0  conocimientos de idioma inglés con puntaje mínimo: TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- Michigan: 70%- English Test (MET): B2: 53 a 63 puntos)- u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. El aspirante no debe haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente. Deben gozar de buena salud física y mental. Los candidatos Preseleccionados serán llamados a entrevista ante la Embajada de la India- si ellos lo estiman conveniente. NOTA: Los documentos deben ser entregados en 3 copias por separado.",Ofrecer a los participantes entrenamiento y actualización en el campo de redes de telecomunicaciones.
3001315.0,MINISTÈRE DE L'ENSEIGNEMENT SUPÈRIEUR - CANADÁ,MAESTRÍAS Y DOCTORADOS EN DIFERENTES ÁREAS,REDUCCIÓN DE COLEGIATURA EN UNIVERSIDADES QUEBEQUENSES PARA PROGRAMAS DE POSGRADO,Canadá (Canadá),,El programa está dirigido a profesionales en diferentes áreas que deseen realizar estudios de maestría o doctorado en Canadá.  REQUISITOS: El candidato debe ser mayor de 22 años y menor de 60 años- tener promedio académico de 3-7/5-0 en estudios de pregrado y maestría (para los que vayan a realizar el doctorado)- contar con mínimo 1 año de experiencia profesional presentados por una universidad- centro de investigación científica- un centro de desarrollo tecnológico o una empresa colombiana- que cuenten con ADMISIÓN DEFINITIVA en un programa de maestría o doctorado- en una universidad quebequense para el trimestre de otoño de 2015 y posean excelentes conocimientos de francés (de acuerdo con los niveles exigidos por las diferentes universidades). El candidato debe gozar de buena salud física y mental.,En la presente convocatoria se ofrece la posibilidad a profesionales colombianos que hayan obtenido admisión en universidades quebequenses para el trimestre de otoño de 2015- de obtener una exención de derechos suplementarios de enseñanza- igual al otorgado a los estudiantes quebequenses- en campos considerados como de alto desarrollo científico y tecnológico en Quebec y en aquellos señalados como prioritarios para el desarrollo de nuestro país. Las becas de exención de derechos suplementarios de enseñanza (reducción de colegiatura) serán otorgadas principalmente para realizar estudios en establecimientos francófonos (80% de las becas). El número de becas otorgadas a estudiantes admitidos en establecimientos anglófonos no podrá superar el 20% del número total de becas efectivamente otorgadas.
4102316.0,ALIANZA DEL PACÍFICO-CHILE-MÉXICO-PERÚ,DIFERENTES AREAS,PLATAFORMA DE MOVILIDAD ESTUDIANTIL Y ACADÉMICA DE LA ALIANZA DEL PACÍFICO - PREGRADO - PERÚ,Perú (República del Perú),,"El programa está dirigido a estudiantes universitarios que hayan aprobado como mínimo el quinto semestre o la mitad de la carrera- de los siguientes programas: 1. NEGOCIOS. 2. FINANZAS. 3. COMERCIO INTERNACIONAL. 4. ADMINISTRACIÓN PÚBLICA. 5. CIENCIA POLÍTICA. 6. TURISMO. 7. ECONOMÍA. 8. RELACIONES INTERNACIONALES. 9. MEDIO AMBIENTE Y CAMBIO CLIMÁTICO. 10. INNOVACIÓN- CIENCIA Y TECNOLOGÍA. 11. INGENIERÍAS. NOTA: SE EXCLUYEN ÁREAS DISTINTAS A LAS SEÑALADAS EN LA PRESENTE CONVOCATORIA. REQUISITOS: El aspirante debe contar con la admisión definitiva al programa de la universidad en el marco de esta alianza y tener promedio de notas universitarias de 4-0/5-0.  NOTAS: A. ADICIONALMENTE- LOS ASPIRANTES DEBEN APLICAR EN LA PLATAFORMA EN LÍNEA DE PERÚ- PRONABEC. ESTA PLATAFORMA ESTÁ ABIERTA HASTA EL 27 DE MAYO Y LOS EXPEDIENTES EN FÍSICO SERÁN RECIBIDOS EN LOS PUNTOS DE ATENCIÓN DE ICETEX HASTA EL 6 DE MAYO DE 2016.  B. TODA LA DOCUMENTACIÓN REQUERIDA EN ESTA CONVOCATORIA SE DEBE PRESENTAR EN FÍSICO Y EN UN (1) CD (ROTULADO CON EL NOMBRE DEL POSTULANTE Y AÑO DE REALIZACIÓN PARA LA CORRESPONDIENTE OFICIALIZACIÓN)- ÚNICAMENTE EN LOS PUNTOS DE ATENCIÓN DE ICETEX A NIVEL NACIONAL. EN EL CD- SE DEBEN INCLUIR TODOS LOS DOCUMENTOS REQUERIDOS EN ESTA CONVOCATORIA. LOS ARCHIVOS DEBEN ADJUNTARSE DE FORMA INDIVIDUAL EN FORMATO PDF- ES DECIR- POR CADA DOCUMENTO- UN (1) ARCHIVO QUE NO SUPERE 15 MEGAS. No presentar documentación en carpeta ni con separadores- ÚNICAMENTE legajados en el lado izquierdo.  C. Los candidatos seleccionados por la Comisión Técnica deberán: - Viajar a Perú- o encontrarse en él- con una anticipación suficiente a la fecha de inicio del respectivo programa de estudio. Se sugiere entre 3 y 5 días antes del inicio de las clases. - Obtener- con la debida anticipación- el permiso de la universidad de origen. - Antes de ingresar al país- obtener en el Consulado General o en las Secciones Consulares de la Embajada de Perú- la ""Visa Oficial de Intercambio""- que se otorga para los estudiantes extranjeros cuya autorización emite la Cancillería Peruana a requerimiento del Punto Focal de Perú- la ANR. Si el estudiante ingresa al Perú con visa de turismo- es imposible cambiar esa calidad migratoria. - Suscribir la Declaración Jurada cuyo texto se adjunta (Anexo I). - Presentar- personalmente en las oficinas de ANR el original de la Declaración Jurada al llegar a Perú. - Suscribir ante Pronabec el Compromiso del becario.",El objetivo del Programa de Becas de Movilidad Estudiantil y Académica de la Alianza del Pacífico es contribuir a la formación de capital humano avanzado de los nacionales de los países miembros de la Alianza del Pacífico- a través del intercambio académico de estudiantes de pregrado en universidades peruanas.
2214713.0,GOBIERNO DE LA INDIA,HUMANIDADES,PROGRESS TO PROFICIENCY - INTERMEDIATE ENGLISH,India (República de India),07/26/2013 12:00:00 AM,El Programa está dirigido a profesionales universitarios con experiencia laboral mínima de un año- en el tema del curso y que deban utilizar el idioma en sus actividades diarias principalmente. REQUISITOS: El aspirante debe ser menor de 45 años de edad  tener un promedio de notas mínimo de 3-7/5-0  buenos conocimientos de idioma inglés- puntaje requerido: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. Los aspirantes no deben haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente. Deben gozar de buena salud física y mental. Los candidatos Preseleccionados serán llamados a entrevista ante la Embajada de la India- si la Embajada lo considera pertinente.,Brindar a los participantes la oportunidad de mejorar su comunicación en inglés.
3900314.0,UNESCO - L´OREAL,CIENCIAS NATURALES O AGROPECUARIAS,INVESTIGACIÓN PARA MUJERES JÓVENES EN BIOLOGIA BIOQUIMICA BIOTECNOLOGIA AGRICULTURA MEDICINA FARMACIA Y FISIOLOGIA,Diferentes Países,,El programa está dirigido a mujeres profesionales en carreras directamente relacionadas con los campos ofrecidos- que tengan título de doctorado o que se encuentren realizando un doctorado o postdoctorado- que demuestren méritos intelectuales y dedicación a la investigación en cualquiera de las áreas contempladas en el programa. Los proyectos que involucren modelos animales (experimentación haciendo uso de animales vertebrados de laboratorio) serán rechazados- y propuestas en el área de los cosméticos NO serán fomentadas- dando preferencia a investigaciones no cosméticas.   REQUISITOS: Los aspirantes deben ser menores de 35 años de edad (las candidatas que hayan nacido antes del 1o. de enero de 1979 no serán consideradas)- tener un promedio de notas universitarias de 4-0/5-0  tener experiencia profesional mínima de un año en el área de estudio  contar con aceptación de la universidad- institución o laboratorio anfitrión en el exterior y dominar la lectura y escritura del idioma del país propuesto para realizar la investigación.  - El oferente dará prelación a las candidatas que al momento de la postulación tengan un grado de doctorado o postdoctorado en ciencias de la vida y quienes estén realizando estudios o investigaciones que culminen en un doctorado. La aspirante no puede estar en posesión de otra beca/premio por el proyecto o durante el período que cubre la postulación de esta beca. Tener buena salud física y mental.   REQUISITOS PARA POSTULAR A UNA PROLONGACIÓN DE LA BECA: Los siguientes documentos deberán ser sometidos 3 meses antes del término de la beca:   1. Presentar tres cartas de recomendación emitidas por:  a) La institución anfitriona  b) El supervisor de estudios de la institución anfitriona  c) La institución académica/laboratorio que se encuentra en el país de origen de la candidata.  2. Un informe de investigación detallando el progreso del proyecto a la fecha- y una propuesta que justifique la necesidad de una prolongación con el detalle del trabajo a realizar.  3. Un presupuesto detallado estimando los gastos en que se incurrirá en la segunda parte de la beca. Las candidaturas para la prolongación solo deben hacerse por el proyecto para el cual se otorgó la beca original.,Identificar y recompensar a jóvenes científicas de todo el mundo especializadas en ciencias de la vida (Biología- Bioquímica- Biotecnología- Agricultura- Medicina- Farmacia y Fisiología) - que se destaquen por sus méritos- su dedicación y su talento.
5202816.0,UNESCO - GOBIERNO REPÚBLICA POPULAR CHINA,DIFERENTES AREAS,PROGRAMA LA GRAN MURALLA,China (República Popular China),04/29/2016 12:00:00 AM,"El programa está dirigido a profesionales que desean seguir estudios de posgrado o tengan la intención de realizar una investigación individual con orientación periódica de un profesor o tutor asignado. REQUISITOS: El candidato debe ser mayor de 23 años y menor de 45 años- tener un promedio de notas de pregrado o maestría de 3-7/5-0  contar con mínimo 1 año de experiencia profesional en áreas relacionadas al programa- tener buenos conocimientos de idioma inglés con puntaje mínimo en prueba escrita: TOEFL (IBT): 65 puntos- CBT: 183 puntos- IELTS: 5.5- English Test (MET) B2 (53 a 63 puntos)- gozar de excelente salud física y mental.  NOTA: En el FORMULARIO DEL GOBIERNO OFERENTE- es necesario que el candidato especifique 3 posibles instituciones en China- indicando 1 campo de estudio preferente. Visite la página web: http://en.csc.edu.cn/ seleccione la pestaña ""STUDY IN CHINA"" para más información acerca de las instituciones.",Ofrecer a profesionales colombianos la oportunidad de realizar estudios en áreas como educación- cultura- comunicación- ciencia y tecnología en universidades chinas.
2204712.0,GOBIERNO DE JAPON - JICA,INGENIERIA Y AFINES,TECNOLOGÍA PRÁCTICA PARA MECATRÓNICA Y ROBOTS,Japón (Japón),,El programa está dirigido a profesionales en carreras afines al curso que se encuentren vinculados como instructores en instituciones educativas vocacionales- preferiblemente del sector público- en el campo de la ingeniería eléctrica o electrónica.   REQUISITOS: El aspirante debe ser menor de 35 años- contar mínimo con cinco años de experiencia en el área (después de haber obtenido el título universitario)- gozar de buena salud física y mental y poseer buenos conocimientos del idioma inglés: English Test (MET): C2- TOEFL: Prueba por Computador: 250 puntos- Prueba por Internet - IBT (superior a 100 puntos) ó IELTS: 8.0)-  u otro de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura. Las personas que hayan cursado estudios de pregrado o postgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés.,Brindar a los participantes conocimientos actualizados sobre tecnología en mecatrónica y robótica.
6200312.0,UNIVERSIDAD CARLOS III DE MADRID,POSGRADO DIFERENTES AREAS,PROGRAMA DE MAESTRÍA Y DOCTORADO EN DIFERENTES ÁREAS,España (Reino de España),06/27/2012 12:00:00 AM,El programa está dirigido a profesionales en carreras afines a cada uno de los programas de Maestría y Doctorado que ofrece esta Universidad. Profesionales universitarios que desean completar su formación y reforzar su proyección profesional para destacar y abordar con éxito su desempeño en las diferentes áreas de la maestría.   REQUISITOS: El aspirante debe ser menor de 50 años- contar con promedio académico de 3-7/5-0 y tener un año de experiencia (después de haber obtenido el título universitario) en el área del Programa de estudios a realizar  tener buenos conocimientos de idioma inglés: con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2 ) y gozar de buena salud física y mental.,Brindar a profesionales colombianos la oportunidad de realizar estudios de Maestría y Doctorado en las áreas señaladas en esta Convocatoria- con reducción en los costos de matrícula en la Universidad Carlos III de Madrid- en virtud del Convenio Interinstitucional suscrito entre esta Universidad y el ICETEX.
